StatementID,Committee,Type,CommitteeNumber,Candidate,FilingDate,AmendedDate,OfficialFiling,TransactionDate,LastName,FirstName,Street,City,State,Zip,Expenditure,Purpose,AmendsExpenditureID,ExpenditureID,
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,09/16/2021,Artist Proof Collective,,760 Umatilla St,Denver,CO,,$1212.96,Printing flyers,,6416
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,09/16/2021,Prairie Mountain Media,,3350 Arapahoe Ave ,Boulder,CO,,$935.00,Daily Camera Ad,,6417
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,09/15/2021,Zapier,,548 Market St. #62411,San Francisco,CA,,$24.99,Software ,,6418
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,09/14/2021,Big Daddy Signs,,24 Lexington Dr. Suite 1,Laconia,NH,,$1502.45,Yard Signs,,6419
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,09/13/2021,Canva,,200 East 6th Street,Austin,TX,,$12.99,Design Tool,,6420
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,09/13/2021,123 Print,,12750 Merit Drive; Suite 900 ,Dallas,TX,,$119.83,Printed notes for door knocking,,6421
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,09/07/2021,Wix,,PO box 40190 ,San Francisco,CA,,$216.00,Website ,,6422
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,09/03/2021,Big Daddy Signs,,24 Lexington Dr. Suite 1,Laconia,NH,,$375.45,Yard Signs,,6423
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,09/02/2021,MailChimp,,675 Ponce De Leon Ave NE #5000,New York,NY,,$96.54,Email platform,,6424
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,08/16/2021,Zapier,,548 Market St. #62411,San Francisco,CA,,$24.99,Software ,,6425
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,08/12/2021,Canva,,200 East 6th Street,Austin,TX,,$12.99,Design Tool,,6426
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,08/02/2021,MailChimp,,675 Ponce De Leon Ave NE #5000,New York,NY,,$96.54,Email platform,,6427
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,07/15/2021,Zapier,,548 Market St. #62411,San Francisco,CA,,$24.99,Software ,,6428
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,07/12/2021,Canva,,200 East 6th Street,Austin,TX,,$12.99,Design Tool,,6429
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,07/02/2021,MailChimp,,675 Ponce De Leon Ave NE #5000,New York,NY,,$65.42,Email platform,,6430
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,06/15/2021,Zapier,,548 Market St. #62411,San Francisco,CA,,$24.99,Software ,,6431
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,06/14/2021,Canva,,200 East 6th Street,Austin,CA,,$12.99,Design Tool,,6432
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,07/08/2021,Everyaction,,655 15th Street NW Suite 650,Washington DC,DC,,$1000.00,MiniVAN software,,6433
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,06/08/2021,Facebook,,1 Hacker Way,Menlo Park,CA,,$510.52,Facebook Boosting,,6434
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,07/12/2021,Zazzle,,811 Sandhill Road,Reno,NV,,$48.46,Volunteer Shirts,,6435
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/13/2021,Zazzle,,811 Sandhill Road,Reno,NV,,$146.22,Volunteer Shirts,,6436
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,06/02/2021,MailChimp,,675 Ponce De Leon Ave NE #5000,New York,NY,,$55.04,Email platform,,6437
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,03/23/2021,Amazon,,410 Terry Ave N ,Seattle,WA,,$21.73,Volunteer Badges,,6438
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,05/17/2021,Zapier,,548 Market St. #62411,San Francisco,CA,,$24.99,Software ,,6439
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/09/2021,Amazon,,410 Terry Ave N ,Seattle,WA,,$41.31,Clip Boards,,6440
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,05/10/2021,Facebook,,1 Hacker Way,Menlo Park,CA,,$21.67,Facebook Boosting,,6441
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/26/2021,Amazon,,410 Terry Ave N ,Seattle,WA,,$17.40,Clip Boards,,6442
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,05/10/2021,Facebook,,1 Hacker Way,Menlo Park,CA,,$400.00,Facebook Boosting,,6443
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,09/03/2021,Amazon,,410 Terry Ave N ,Seattle,WA,,$57.61,Rubberbands and Name Tags,,6444
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,05/05/2021,Twilio,,375 Beale St #300,San Fransisco,CA,,$100.00,Texting platform,,6445
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,05/03/2021,MailChimp,,675 Ponce De Leon Ave NE #5000,New York,NY,,$55.04,Email platform,,6446
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,09/13/2021,Amazon,,410 Terry Ave N ,Seattle,WA,,$43.52,Folders for door canvassing,,6447
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/30/2021,Twilio,,375 Beale St #300,San Fransisco,CA,,$150.00,Texting platform,,6448
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,02/16/2021,Zapier,,548 Market St. #62411,San Francisco,CA,,$24.99,Software,,6449
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,02/26/2021,Wells Fargo,,623 S Broadway,Boulder,CO,,$10.00,Bank Fee,,6450
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/29/2021,LinkedIn,,605 W Maude Ave,Sunnyvale,CA,,$66.60,LinkedIn Boosting,,6451
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/28/2021,Facebook,,Facebook,Menlo Park,CA,,$250.00,Facebook Boosting,,6452
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,03/11/2021,Twilio,,375 Beale St. #300,San Francisco,CA,,$200.00,Texting Platform,,6453
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/26/2021,Twilio,,375 Beale St #300,San Fransisco,CA,,$150.00,Texting platform,,6454
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,03/12/2021,Facebook,,1 Hacker Way,Menlo Park,CA,,$25.00,Facebook boosting,,6455
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/23/2021,LinkedIn,,605 W Maude Ave,Sunnyvale,CA,,$67.73,LinkedIn Boosting,,6456
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,03/15/2021,Facebook,,1 Hacker Way,Menlo Park,CA,,$25.00,Facebook boosting,,6457
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/22/2021,Facebook,,1 Hacker Way,Menlo Park,CA,,$175.00,Facebook Boosting,,6458
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,03/15/2021,Vista Print,,275 Wyman Street,Waltham,MA,,$68.56,Campaign Business Cards,,6459
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/20/2021,LinkedIn,,605 W Maude Ave,Sunnyvale,CA,,$29.07,LinkedIn Boosting,,6460
