precinct_name,precinct_turnout_2019
2181007800,62.1
2181007801,46.5
2181007802,39.3
2181007804,60.4
2181007806,55.3
2181007807,62.9
2181007808,49.1
2181007809,63.8
2181007810,63.9
2181007811,62.8
2181007812,56.1
2181007813,43.1
2181007814,53.6
2181007815,41.7
2181007816,51.1
2181007817,68.3
2181007818,63.9
2181007819,61.2
2181007820,65.9
2181007821,50.3
2181007822,40.0
2181007823,41.6
2181007824,52.6
2181007825,61.2
2181007826,61.4
2181007827,46.8
2181007828,41.4
2181007829,35.5
2181007830,27.1
2181007831,33.4
2181007832,46.7
2181007833,25.5
2181007834,6.3
2181007835,14.3
2181007836,43.8
2181007837,27.0
2181007838,27.3
2181007839,63.5
2181007840,59.2
2181007841,62.8
2181007842,63.9
2181007843,64.0
2181007844,54.9
2181007845,47.2
2181007846,29.8
2181007847,16.0
2181007848,45.6
2181007849,11.5
2181007850,68.0
2181007851,60.6
2181007852,51.7
2181007853,41.2
2181307854,40.2
2181307855,52.4
2181307856,60.4
2181307857,63.0
2181307858,69.0
2181307859,67.2
2181307860,69.2
2181307861,67.0
2181307862,62.7
2181307863,65.9
2181307864,60.0
2181307865,51.2
2181307866,58.4
2181307867,50.5
2181307868,71.1
2181307869,62.9
2181307870,38.7
2181307871,46.6
2181307872,22.0
2181307873,66.3
2181307874,55.4
2181307875,17.5
2181307876,6.0
2181307877,51.2
2181307878,41.1
2181307879,42.7
2181307880,17.3
2181307881,52.6
2181307882,62.4
2181307883,59.7
2181307884,48.5
2181307885,64.9
2181307886,63.8
2181307887,65.2
2181307888,69.2
2181307910,64.8
