stage_value_display_sortable,data_provider,abbrev,stage_value_display,station_num,meas_value_display_sortable,meas_flagb,wd,meas_flaga,row_color,water_source,gnis_id,detailsLink,contr_area,st,meas_value,modified,cty,station_type,modifiedDate,meas_units,stage_flagb,stage_flaga,stream_mile,symbol_shape,longdecdeg,meas_value_display,drain_area,huc10,location_accuracy,more_information,parameter,utm_y,utm_x,station_name,symbol_color,stage_value,symbol_scale,data_category,county,latdecdeg,stage_units,station_name_display,div,usgs_station_id,meas_date_time,wdid,stage_parameter
null,DWR,0101794A,null,9799,0,null,1,O,null,CACHE LA POUDRE RIVER,00205018,0101794A,null,CO,0,/Date(1639016510183)/,62,Stream Gage,/Date(1638946800000)/,cfs,null,null,null,Circle,-104.655907,0 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/0101794A?params=DISCHRG,DISCHRG,4498718.0,529097.0,ANTELOPE BEACH RECHARGE AREA,Blue,null,13,Surface Water,WELD,40.638801,null,ANTELOPE BEACH RECHARGE AREA,1,null,/Date(1639016100000)/,0101794,null
null,DWR,0600515A,null,9735,0,null,6,O,null,BOULDER CREEK,00178354,0600515A,null,CO,0,/Date(1639016389930)/,7,Diversion Structure,/Date(1638946800000)/,cfs,null,null,10.13,Circle,-105.105413,0 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/0600515A?params=DISCHRG,DISCHRG,4433837.9,491010.5,BOULDER & WELD COUNTY DITCH,Green,null,13,Surface Water,BOULDER,40.054745,null,BOULDER & WELD COUNTY DITCH,1,null,/Date(1639016100000)/,0600515,null
null,Northern Water,0600516B,null,9760,0,null,6,O,null,BOULDER CREEK,00178354,0600516B,null,CO,0,/Date(1639016558410)/,0,Diversion Structure,/Date(1638946800000)/,cfs,null,null,22.27,Circle,-105.201651,0 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/0600516B?params=DISCHRG,DISCHRG,4436187.0,482807.0,BOULDER WHITEROCK TURNOUT #1,Green,null,13,Surface Water,UNKNOWN,40.075781,null,"BOULDER WHITEROCK TURNOUT #1<br><font color=""green"">Northern Water</font>",1,null,/Date(1639015200000)/,0600516,null
null,Northern Water,0600516C,null,9761,0,null,6,O,null,BOULDER CREEK,00178354,0600516C,null,CO,0,/Date(1639016558583)/,0,Diversion Structure,/Date(1638946800000)/,cfs,null,null,22.27,Circle,-105.201651,0 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/0600516C?params=DISCHRG,DISCHRG,4436188.0,482806.0,BOULDER WHITEROCK TURNOUT #2,Green,null,13,Surface Water,UNKNOWN,40.075781,null,"BOULDER WHITEROCK TURNOUT #2<br><font color=""green"">Northern Water</font>",1,null,/Date(1639015200000)/,0600516,null
null,DWR,0600542A,null,9751,0.01,null,6,O,"rgba(255,205,0,0.7)",BOULDER CREEK,00178354,0600542A,null,CO,0.01,/Date(1632327632133)/,7,Diversion Structure,/Date(1632290400000)/,cfs,null,null,22.27,Circle,-105.267324,null,null,null,Digitized,https://dwr.state.co.us/Tools/Stations/0600542A?params=DISCHRG,"<span style=""color: red;"">DISCHRG</span>",4429400.0,477187.0,MCCARTY DITCH,Green,null,13,Surface Water,BOULDER,40.014499,null,MCCARTY DITCH,1,null,null,0600542,null
null,DWR,0600893A,null,9788,0,null,6,O,null,SOUTH BOULDER CREEK,00180974,0600893A,null,CO,0,/Date(1639016511183)/,7,Diversion Structure,/Date(1638946800000)/,cfs,null,null,1.48,Circle,-105.205895,0 cfs,null,null,Digitized,https://dwr.state.co.us/Tools/Stations/0600893A?params=DISCHRG,DISCHRG,4430055.0,482431.0,LEGGETT-VALMONT RESERVOIR INLET,Green,null,13,Surface Water,BOULDER,40.020526,null,LEGGETT-VALMONT RESERVOIR INLET,1,null,/Date(1639016100000)/,0600893,null
null,DWR,0604180A,null,9789,0,null,6,O,null,BOULDER CREEK,00178354,0604180A,null,CO,0,/Date(1639016510870)/,7,Diversion Structure,/Date(1638946800000)/,cfs,null,null,null,Triangle,-105.20903,0 cfs,null,null,Digitized,https://dwr.state.co.us/Tools/Stations/0604180A?params=DISCHRG,DISCHRG,4430623.0,482164.0,LEGGETT-VALMONT RESERVOIR OUTLET,Blue,null,13,Surface Water,BOULDER,40.025632,null,LEGGETT-VALMONT RESERVOIR OUTLET,1,null,/Date(1639016100000)/,0604180,null
null,DWR,0900862A,null,7924,0,null,9,O,null,BEAR CREEK,00182308,0900862A,null,CO,0,/Date(1639016389867)/,30,Diversion Structure,/Date(1638946800000)/,cfs,null,null,7.64,Circle,-105.132809,0 cfs,null,null,Digitized,https://dwr.state.co.us/Tools/Stations/0900862A?params=DISCHRG,DISCHRG,4389807.0,488608.0,PIONEER UNION DITCH,Green,null,13,Surface Water,JEFFERSON,39.657996,null,PIONEER UNION DITCH,1,null,/Date(1639016100000)/,0900862,null
null,DWR,0902251A,null,9837,0.77,null,9,O,null,BEAR CREEK,00182308,0902251A,null,CO,0.77,/Date(1639016509823)/,16,Diversion Structure,/Date(1638946800000)/,cfs,null,null,null,Circle,-105.063477,0.77 cfs,null,null,Digitized,https://dwr.state.co.us/Tools/Stations/0902251A?params=DISCHRG,DISCHRG,4387632.1,494553.9,JOHNSON LATERAL PINEHURST INFLOW,Green,null,13,Surface Water,DENVER,39.638457,null,JOHNSON LATERAL PINEHURST INFLOW,1,null,/Date(1639016100000)/,0902251,null
null,DWR,1201151A,null,9813,2.31,null,12,O,null,BEAVER CREEK,00193682,1201151A,null,CO,2.31,/Date(1639015879500)/,60,Stream Gage,/Date(1638946800000)/,cfs,null,null,21.98,Circle,-105.018453,2.31 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/1201151A?params=DISCHRG,DISCHRG,4291495.0,498397.0,MIDDLE BEAVER CREEK FLUME,Blue,null,13,Surface Water,TELLER,38.772173,null,MIDDLE BEAVER CREEK FLUME,2,null,/Date(1639011600000)/,1201151,null
