obs:Observed
anom:Anomaly
clim:Ensemble Mean Climatology
sprd:Ensemble Standard Deviation
mean:Ensemble Mean
ens01:Member  1
ens02:Member  2
ens03:Member  3
ens04:Member  4
ens05:Member  5
ens06:Member  6
ens07:Member  7
ens08:Member  8
ens09:Member  9
ens10:Member 10
ens11:Member 11
ens12:Member 12
ens13:Member 13
ens14:Member 14
ens15:Member 15
ens16:Member 16
ens17:Member 17
ens18:Member 18
ens19:Member 19
ens20:Member 20
ens21:Member 21
ens22:Member 22
ens23:Member 23
ens24:Member 24
ens25:Member 25
ens26:Member 26
ens27:Member 27
ens28:Member 28
ens29:Member 29
ens30:Member 30
ens31:Member 31
ens32:Member 32
ens33:Member 33
ens34:Member 34
ens35:Member 35
ens36:Member 36
ens37:Member 37
ens38:Member 38
ens39:Member 39
ens40:Member 40
ens41:Member 41
ens42:Member 42
ens43:Member 43
ens44:Member 44
ens45:Member 45
ens46:Member 46
ens47:Member 47
ens48:Member 48
ens49:Member 49
ens50:Member 50
ens51:Member 51
ens52:Member 52
ens53:Member 53
ens54:Member 54
ens55:Member 55
ens56:Member 56
ens57:Member 57
ens58:Member 58
ens59:Member 59
ens60:Member 60
ens61:Member 61
ens62:Member 62
ens63:Member 63
ens64:Member 64
ens65:Member 65
ens66:Member 66
ens67:Member 67
ens68:Member 68
ens69:Member 69
ens70:Member 70
ens71:Member 71
ens72:Member 72
ens73:Member 73
ens74:Member 74
ens75:Member 75
ens76:Member 76
ens77:Member 77
ens78:Member 78
ens79:Member 79
ens80:Member 80
ens81:Member 81
ens82:Member 82
ens83:Member 83
ens84:Member 84
ens85:Member 85
ens86:Member 86
ens87:Member 87
ens88:Member 88
ens89:Member 89
ens90:Member 90
ens91:Member 91
ens92:Member 92
ens93:Member 93
ens94:Member 94
ens95:Member 95
ens96:Member 96
ens97:Member 97
ens98:Member 98
ens99:Member 99
ens100:Member 100
