Sitename: Bartlett Experimental Forest New Hampshire USA
Location: Latitude: 44.0646  Longitude: -71.2881  Elevation (masl): 272
Principal investigator: Andrew Richardson
Ecosystem type: DBF Deciduous Broadleaf Forests
File creation date: 15FEB2013
Data Policy -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data. 
In addition when publishing please acknowledge the agency that supported the research. --
File Origin - This file was created at Oak Ridge National Laboratory by the AmeriFlux and FLUXNET data management groups.
These groups are supported by the U.S. Department of Energy and National Aeronautics and Space Administration. 
This standardized file is identical in format to other standardized files provided here with a goal of aiding intersite comparisons  multi-site syntheses and modeling activities. 
Questions about these standardized files should be addressed to Tom Boden (bodenta@ornl.gov) .
YEAR, GAP, DTIME, DOY, HRMIN, UST, TA, WD, WS, NEE, FC, SFC, H, SH, LE, SLE, FG, TS1, TSdepth1, TS2, TSdepth2, PREC, RH, PRESS, CO2, VPD, SWC1, SWC2, Rn, PAR, Rg, Rgdif, PARout, RgOut, Rgl, RglOut, H2O, RE, GPP, CO2top, CO2height, APAR, PARdif, APARpct, ZL
YEAR, GAP, DTIME, DOY, HRMIN, m/s, deg C, deg, m/s, umol/m2/s, umol/m2/s, umol/m2/s, W/m2, W/m2, W/m2, W/m2, W/m2, deg C, cm, deg C, cm, mm, %, kPa, umol/mol, kPa, %, %, W/m2, umol/m2/s, W/m2, W/m2, umol/m2/s, W/m2, W/m2, W/m2, mmol/mol, umol/m2/s, umol/m2/s, umol/mol, m, umol/m2/s, umol/m2/s, %, unitless
100.0,100.0,100.0 , 100.0 , 100.0,  70.3,100.0, 70.3, 63.4,  0.0, 43.9,  0.0, 48.2,  0.0, 40.9,  0.0,  0.0,100.0,100.0, 90.0,100.0, 67.0, 92.7,  0.0, 59.5, 92.7, 55.3,  0.0, 88.9,100.0, 67.0,  0.0, 85.3, 67.0,  0.0,  0.0, 70.2,  0.0,100.0, 59.5,100.0, 90.0, 55.9,  0.0,  0.0
2004,-1,1.00000,1,000,-9999,1.637,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.25,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.02083,1,030,-9999,0.885,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.04167,1,100,-9999,0.788,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.06250,1,130,-9999,0.788,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.08333,1,200,-9999,0.708,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.10417,1,230,-9999,0.788,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.12500,1,300,-9999,0.691,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.14583,1,330,-9999,0.638,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.16667,1,400,-9999,0.514,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.18750,1,430,-9999,0.39,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.20833,1,500,-9999,0.249,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.22917,1,530,-9999,0.266,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.25000,1,600,-9999,0.266,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.27083,1,630,-9999,0.372,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.29167,1,700,-9999,0.39,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,8,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.172,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.31250,1,730,-9999,0.54,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,88,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.184,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.33333,1,800,-9999,0.567,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,190,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.35417,1,830,-9999,1.053,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,285,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.37500,1,900,-9999,1.318,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,369,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.39583,1,930,-9999,1.177,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,438,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.41667,1,1000,-9999,1.15,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,492,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.43750,1,1030,-9999,1.274,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,530,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.45833,1,1100,-9999,1.398,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,549,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.47917,1,1130,-9999,2.044,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,551,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.50000,1,1200,-9999,2.335,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,534,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.52083,1,1230,-9999,2.707,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,500,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.54167,1,1300,-9999,1.831,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,448,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.56250,1,1330,-9999,1.637,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,381,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.58333,1,1400,-9999,1.301,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,300,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.60417,1,1430,-9999,1.221,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,206,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.62500,1,1500,-9999,0.735,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,105,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.64583,1,1530,-9999,-0.132,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,16,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.179,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.66667,1,1600,-9999,-0.83,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
