# PBO H2O Data Portal - http://xenon.colorado.edu/portal 
# created 09-Feb-2014 
# cast    39.191022   249.322687  2245.0  / station Lat. Lon. Elev.(m)
# Product Release Version   1.1 
# Loading Model 
# The monthly GLDAS loads were computed by Tonie van Dam's group 
# at the University of Luxembourg 
# Month, Day, and DOY are provided to make it easier to plot the loads 
# Year, Month, Day, Dayofyear, North Load(mm), East Load(mm), Vert Load(mm) 
2000,    1,   15,   15,    0.4,    0.2,   -2.5 
2000,    2,   15,   46,    0.6,    0.2,   -3.4 
2000,    3,   15,   75,    0.7,    0.1,   -4.7 
2000,    4,   15,  106,    0.8,    0.3,   -4.5 
2000,    5,   15,  136,    0.7,    0.2,   -3.3 
2000,    6,   15,  167,    0.3,    0.2,   -2.0 
2000,    7,   15,  197,   -0.0,    0.1,   -0.8 
2000,    8,   15,  228,   -0.2,    0.0,    0.3 
2000,    9,   15,  259,   -0.2,   -0.1,    0.4 
2000,   10,   15,  289,   -0.2,   -0.0,   -0.3 
2000,   11,   15,  320,   -0.2,    0.1,   -2.3 
2000,   12,   15,  350,    0.0,    0.2,   -2.8 
2001,    1,   15,   15,    0.2,    0.3,   -3.4 
2001,    2,   15,   46,    0.3,    0.3,   -4.0 
2001,    3,   15,   74,    0.3,    0.2,   -4.4 
2001,    4,   15,  105,    0.4,    0.2,   -3.8 
2001,    5,   15,  135,    0.3,    0.1,   -2.4 
2001,    6,   15,  166,    0.2,    0.1,   -1.0 
2001,    7,   15,  196,   -0.1,   -0.1,    0.2 
2001,    8,   15,  227,   -0.2,   -0.2,    0.8 
2001,    9,   15,  258,   -0.3,   -0.2,    1.1 
2001,   10,   15,  288,   -0.3,   -0.1,    1.2 
2001,   11,   15,  319,   -0.1,   -0.1,    0.8 
2001,   12,   15,  349,    0.1,   -0.1,   -0.3 
2002,    1,   15,   15,    0.2,   -0.1,   -0.6 
2002,    2,   15,   46,    0.3,   -0.0,   -0.7 
2002,    3,   15,   74,    0.4,   -0.0,   -0.6 
2002,    4,   15,  105,    0.4,    0.0,   -0.2 
2002,    5,   15,  135,    0.3,   -0.0,    0.5 
2002,    6,   15,  166,    0.1,   -0.1,    1.5 
2002,    7,   15,  196,   -0.2,   -0.2,    2.3 
2002,    8,   15,  227,   -0.3,   -0.2,    2.7 
2002,    9,   15,  258,   -0.3,   -0.2,    2.0 
2002,   10,   15,  288,   -0.3,    0.1,    1.3 
2002,   11,   15,  319,   -0.2,    0.2,    0.7 
2002,   12,   15,  349,   -0.1,    0.2,    0.2 
