#crs=wgs84
#fields=x[precision=2],y[precision=3],z[precision=4],r[type=integer],g[type=integer],b[type=integer],intensity[type=integer]
-2313174.974,-3717949.974,4622885.034,4,4,4,1166
-2313175.009,-3717949.961,4622885.028,2,2,2,1799
-2313175.001,-3717950.058,4622884.669,2,2,2,1196
-2313175.012,-3717949.889,4622884.824,4,4,4,2659
-2313175.284,-3717950.819,4622883.842,4,4,4,1663
-2313175.097,-3717950.210,4622884.419,6,6,6,2101
-2313175.074,-3717949.930,4622884.744,5,5,4,1598
-2313175.198,-3717950.351,4622884.298,5,5,4,1937
-2313175.079,-3717949.814,4622884.857,3,3,3,1302
-2313175.195,-3717950.237,4622884.345,4,4,4,1425
