State,Tribe,Wikipedia URL,Latitude,Longitude
Washington,Chehalis Tribe,https://en.wikipedia.org/wiki/Chehalis_people,N/A,N/A
Washington,Chinook Tribe,https://en.wikipedia.org/wiki/Chinookan_peoples,N/A,N/A
Washington,Confederated Tribes of the Colville Reservation,https://en.wikipedia.org/wiki/Confederated_Tribes_of_the_Colville_Reservation,N/A,N/A
Washington,Confederated Tribes and Bands of the Yakama Nation,https://en.wikipedia.org/wiki/Yakama_Indian_Reservation,46.23333333,-120.82194444
Washington,Cowlitz Tribe,https://en.wikipedia.org/wiki/Cowlitz_Indian_Tribe,45.86388889,-122.66861111
Washington,Duwamish Tribe,https://en.wikipedia.org/wiki/Duwamish_Tribe,N/A,N/A
Washington,Hoh Tribe,https://en.wikipedia.org/wiki/Hoh_people,N/A,N/A
Washington,Jamestown S’Klallam Tribe,https://en.wikipedia.org/wiki/Jamestown_S'Klallam_Tribe_of_Washington,N/A,N/A
Washington,Kalispel Tribe,https://en.wikipedia.org/wiki/Pend_d'Oreilles,N/A,N/A
Washington,Lower Elwha Klallam Tribe,https://en.wikipedia.org/wiki/Lower_Elwha_Klallam_Tribe,N/A,N/A
Washington,Lummi Nation,https://en.wikipedia.org/wiki/Lummi_Nation,N/A,N/A
Washington,Makah Tribe,https://en.wikipedia.org/wiki/Makah,N/A,N/A
Washington,Muckleshoot Tribe,https://en.wikipedia.org/wiki/Muckleshoot,N/A,N/A
Washington,Nisqually Tribe,https://en.wikipedia.org/wiki/Nisqually_Indian_Tribe_of_the_Nisqually_Reservation,47.02,-122.6575
Washington,Nooksack Tribe,https://en.wikipedia.org/wiki/Nooksack_people,N/A,N/A
Washington,Port Gamble S’Klallam Tribe,https://en.wikipedia.org/wiki/Port_Gamble_Band_of_S'Klallam_Indians,N/A,N/A
Washington,Puyallup Tribe,https://en.wikipedia.org/wiki/Puyallup_Tribe_of_Indians,N/A,N/A
Washington,Quileute Tribe,https://en.wikipedia.org/wiki/Quileute,N/A,N/A
Washington,Quinault Nation,https://en.wikipedia.org/wiki/Quinault_Indian_Nation,47.41805556,-124.13861111
Washington,Samish Indian Nation,https://en.wikipedia.org/wiki/Samish_Indian_Nation,N/A,N/A
Washington,Sauk-Suiattle Tribe,https://en.wikipedia.org/wiki/Sauk-Suiattle,N/A,N/A
Washington,Shoalwater Bay Tribe,https://en.wikipedia.org/wiki/Shoalwater_Bay_Tribe,N/A,N/A
Washington,Skokomish Tribe,https://en.wikipedia.org/wiki/Skokomish_Indian_Tribe,47.334866,-123.159929
Washington,Snohomish Tribe,https://en.wikipedia.org/wiki/Snohomish_people,N/A,N/A
Washington,Snoqualmie Tribe,https://en.wikipedia.org/wiki/Snoqualmie_Indian_Tribe,47.51916667,-121.84166667
Washington,Spokane Tribe,https://en.wikipedia.org/wiki/Spokane_people,N/A,N/A
Washington,Squaxin Island Tribe,https://en.wikipedia.org/wiki/Squaxin_Island_Tribe,47.2,-122.91666667
Washington,Steilacoom Tribe,https://en.wikipedia.org/wiki/Steilacoom_Tribe,N/A,N/A
Washington,Stillaguamish Tribe,https://en.wikipedia.org/wiki/Stillaguamish_Tribe_of_Indians,48.2233765,-122.218185
Washington,Suquamish Tribe,https://en.wikipedia.org/wiki/Suquamish,N/A,N/A
Washington,Swinomish Tribe,https://en.wikipedia.org/wiki/Swinomish_people,48.4014,-122.527
Washington,Tulalip Tribes,https://en.wikipedia.org/wiki/Tulalip_Tribes,48.07777778,-122.27083333
Washington,Upper Skagit Tribe,https://en.wikipedia.org/wiki/Upper_Skagit_Indian_Tribe,N/A,N/A
Oregon,Burns Paiute Tribe,https://en.wikipedia.org/wiki/Burns_Paiute_Tribe,43.604138,-119.069996
Oregon,"Confederated Tribes of Coos, Lower Umpqua, and Siuslaw Indians","https://en.wikipedia.org/wiki/Confederated_Tribes_of_Coos,_Lower_Umpqua_and_Siuslaw_Indians",N/A,N/A
