slug,post_id,name,category
teda,27892,Teda,Territories
isoko,27861,Isoko,Territories
urhobo,27859,Urhobo,Territories
oma-iwere-itsekiri,27856,Oma Iwere (Itsekiri),Territories
ijo,27837,Ijo,Territories
cayapo-do-sul,27813,Cayapó do Sul,Territories
chupicuaro,27796,Chupícuaro,Territories
yoruba,27758,Yoruba,Territories
igbo,27691,Igbo,Territories
iznasen,27660,Iznasen,Territories
infusen-nafusa,27638,Infusen (Nafusa),Territories
mozabite,27633,Mozabite,Territories
ghomara,27616,Ghomara,Territories
icenwiyen,27598,Icenwiyen,Territories
isawiyen,27581,Isawiyen,Territories
imuhar,27563,Imuhar,Territories
pocorosa,27560,Pocorosa,Territories
careta,27557,Careta,Territories
comogre,27555,Comogre,Territories
zayanes,27538,Zayanes,Territories
riffian,27520,Riffian,Territories
siwa-siwi,27502,Siwa (Siwi),Territories
chiapes,27501,Chiapes,Territories
chucama,27483,Chucama,Territories
shilha-chleuh,27482,Shilha (Chleuh),Territories
kabyle,27456,Kabyle,Territories
quepoa,27458,Quepoa,Territories
pococes,27455,Pococes,Territories
terarequi,27406,Terarequi,Territories
cuarecua,27404,Cuarecuá,Territories
chuchures,27401,Chuchures,Territories
biru,27397,Birú,Territories
irbolos,27393,Irbolos,Territories
robalos,27390,Robalos,Territories
chalivas,27388,Chalivas,Territories
suries,27385,Suries,Territories
dolegas,27383,Dolegas,Territories
carates,27381,Carates,Territories
chirilues,27378,Chirilues,Territories
querebalos,27375,Querebalos,Territories
cocles,27372,Cocles,Territories
cotos,27370,Cotos,Territories
amazigh,27368,Amazigh,Territories
changuinas,27351,Chánguinas,Territories
doraces,27349,Doraces,Territories
uraba,27346,Urabá,Territories
gunadule,27329,Gunadule,Territories
cueva,27311,Cueva,Territories
bokota-bugle,27308,Bokota (Buglé),Territories
islenos,27297,Isleños,Territories
melchoras,27278,Melchoras,Territories
suerre,27254,Suerre,Territories
corobici,27239,Corobicí,Territories
kukras,27234,Kukras,Territories
silam,27232,Silam,Territories
prinzus,27229,Prinzus,Territories
bawikas,27226,Bawikas,Territories
panamakas,27222,Panamakas,Territories
kum,27219,Kum,Territories
yuskus,27217,Yuskus,Territories
boas,27198,Boas,Territories
olives,27193,Olives,Territories
comecamotes,27191,Comecamotes,Territories
