FIPS,County,State
01001,Autauga County,Alabama
01003,Baldwin County,Alabama
01005,Barbour County,Alabama
01007,Bibb County,Alabama
01009,Blount County,Alabama
01011,Bullock County,Alabama
01013,Butler County,Alabama
01015,Calhoun County,Alabama
01017,Chambers County,Alabama
01019,Cherokee County,Alabama
01021,Chilton County,Alabama
01023,Choctaw County,Alabama
01025,Clarke County,Alabama
01027,Clay County,Alabama
01029,Cleburne County,Alabama
01031,Coffee County,Alabama
01033,Colbert County,Alabama
01035,Conecuh County,Alabama
01037,Coosa County,Alabama
01039,Covington County,Alabama
01041,Crenshaw County,Alabama
01043,Cullman County,Alabama
01045,Dale County,Alabama
01047,Dallas County,Alabama
01049,DeKalb County,Alabama
01051,Elmore County,Alabama
01053,Escambia County,Alabama
01055,Etowah County,Alabama
01057,Fayette County,Alabama
01059,Franklin County,Alabama
01061,Geneva County,Alabama
01063,Greene County,Alabama
01065,Hale County,Alabama
01067,Henry County,Alabama
01069,Houston County,Alabama
01071,Jackson County,Alabama
01073,Jefferson County,Alabama
01075,Lamar County,Alabama
01077,Lauderdale County,Alabama
01079,Lawrence County,Alabama
01081,Lee County,Alabama
01083,Limestone County,Alabama
01085,Lowndes County,Alabama
01087,Macon County,Alabama
01089,Madison County,Alabama
01091,Marengo County,Alabama
01093,Marion County,Alabama
01095,Marshall County,Alabama
01097,Mobile County,Alabama
01099,Monroe County,Alabama
01101,Montgomery County,Alabama
01103,Morgan County,Alabama
01105,Perry County,Alabama
01107,Pickens County,Alabama
01109,Pike County,Alabama
01111,Randolph County,Alabama
01113,Russell County,Alabama
01115,St. Clair County,Alabama
01117,Shelby County,Alabama
01119,Sumter County,Alabama
01121,Talladega County,Alabama
01123,Tallapoosa County,Alabama
01125,Tuscaloosa County,Alabama
01127,Walker County,Alabama
01129,Washington County,Alabama
01131,Wilcox County,Alabama
01133,Winston County,Alabama
02013,Aleutians East Borough,Alaska
02016,Aleutians West Census Area,Alaska
02020,Anchorage Municipality,Alaska
