UGC,County,State
ALC001,Autauga County,Alabama
ALC003,Baldwin County,Alabama
ALC005,Barbour County,Alabama
ALC007,Bibb County,Alabama
ALC009,Blount County,Alabama
ALC011,Bullock County,Alabama
ALC013,Butler County,Alabama
ALC015,Calhoun County,Alabama
ALC017,Chambers County,Alabama
ALC019,Cherokee County,Alabama
ALC021,Chilton County,Alabama
ALC023,Choctaw County,Alabama
ALC025,Clarke County,Alabama
ALC027,Clay County,Alabama
ALC029,Cleburne County,Alabama
ALC031,Coffee County,Alabama
ALC033,Colbert County,Alabama
ALC035,Conecuh County,Alabama
ALC037,Coosa County,Alabama
ALC039,Covington County,Alabama
ALC041,Crenshaw County,Alabama
ALC043,Cullman County,Alabama
ALC045,Dale County,Alabama
ALC047,Dallas County,Alabama
ALC049,DeKalb County,Alabama
ALC051,Elmore County,Alabama
ALC053,Escambia County,Alabama
ALC055,Etowah County,Alabama
ALC057,Fayette County,Alabama
ALC059,Franklin County,Alabama
ALC061,Geneva County,Alabama
ALC063,Greene County,Alabama
ALC065,Hale County,Alabama
ALC067,Henry County,Alabama
ALC069,Houston County,Alabama
ALC071,Jackson County,Alabama
ALC073,Jefferson County,Alabama
ALC075,Lamar County,Alabama
ALC077,Lauderdale County,Alabama
ALC079,Lawrence County,Alabama
ALC081,Lee County,Alabama
ALC083,Limestone County,Alabama
ALC085,Lowndes County,Alabama
ALC087,Macon County,Alabama
ALC089,Madison County,Alabama
ALC091,Marengo County,Alabama
ALC093,Marion County,Alabama
ALC095,Marshall County,Alabama
ALC097,Mobile County,Alabama
ALC099,Monroe County,Alabama
ALC101,Montgomery County,Alabama
ALC103,Morgan County,Alabama
ALC105,Perry County,Alabama
ALC107,Pickens County,Alabama
ALC109,Pike County,Alabama
ALC111,Randolph County,Alabama
ALC113,Russell County,Alabama
ALC115,St. Clair County,Alabama
ALC117,Shelby County,Alabama
ALC119,Sumter County,Alabama
ALC121,Talladega County,Alabama
ALC123,Tallapoosa County,Alabama
ALC125,Tuscaloosa County,Alabama
ALC127,Walker County,Alabama
ALC129,Washington County,Alabama
ALC131,Wilcox County,Alabama
ALC133,Winston County,Alabama
AKC013,Aleutians East Borough,Alaska
AKC016,Aleutians West Census Area,Alaska
AKC020,Anchorage Municipality,Alaska
AKC050,Bethel Census Area,Alaska
AKC060,Bristol Bay Borough,Alaska
AKC063,Chugach Census Area,Alaska
AKC066,Copper River Census Area,Alaska
AKC068,Denali Borough,Alaska
AKC070,Dillingham Census Area,Alaska
AKC090,Fairbanks North Star Borough,Alaska
AKC100,Haines Borough,Alaska
AKC105,Hoonah-Angoon Census Area,Alaska
AKC110,Juneau City and Borough,Alaska
AKC122,Kenai Peninsula Borough,Alaska
AKC130,Ketchikan Gateway Borough,Alaska
AKC150,Kodiak Island Borough,Alaska
AKC158,Kusilvak Census Area,Alaska
AKC164,Lake and Peninsula Borough,Alaska
AKC170,Matanuska-Susitna Borough,Alaska
AKC180,Nome Census Area,Alaska
AKC185,North Slope Borough,Alaska
AKC188,Northwest Arctic Borough,Alaska
AKC195,Petersburg Borough,Alaska
AKC198,Prince of Wales-Hyder Census Area,Alaska
AKC220,Sitka City and Borough,Alaska
AKC230,Skagway Municipality,Alaska
AKC240,Southeast Fairbanks Census Area,Alaska
AKC275,Wrangell City and Borough,Alaska
AKC282,Yakutat City and Borough,Alaska
AKC290,Yukon-Koyukuk Census Area,Alaska
AZC001,Apache County,Arizona
AZC003,Cochise County,Arizona
AZC005,Coconino County,Arizona
AZC007,Gila County,Arizona
AZC009,Graham County,Arizona
AZC011,Greenlee County,Arizona
AZC012,La Paz County,Arizona
AZC013,Maricopa County,Arizona
AZC015,Mohave County,Arizona
AZC017,Navajo County,Arizona
AZC019,Pima County,Arizona
AZC021,Pinal County,Arizona
AZC023,Santa Cruz County,Arizona
AZC025,Yavapai County,Arizona
AZC027,Yuma County,Arizona
ARC001,Arkansas County,Arkansas
ARC003,Ashley County,Arkansas
ARC005,Baxter County,Arkansas
ARC007,Benton County,Arkansas
ARC009,Boone County,Arkansas
ARC011,Bradley County,Arkansas
ARC013,Calhoun County,Arkansas
ARC015,Carroll County,Arkansas
ARC017,Chicot County,Arkansas
ARC019,Clark County,Arkansas
ARC021,Clay County,Arkansas
ARC023,Cleburne County,Arkansas
ARC025,Cleveland County,Arkansas
ARC027,Columbia County,Arkansas
ARC029,Conway County,Arkansas
ARC031,Craighead County,Arkansas
ARC033,Crawford County,Arkansas
ARC035,Crittenden County,Arkansas
ARC037,Cross County,Arkansas
ARC039,Dallas County,Arkansas
ARC041,Desha County,Arkansas
ARC043,Drew County,Arkansas
ARC045,Faulkner County,Arkansas
ARC047,Franklin County,Arkansas
ARC049,Fulton County,Arkansas
ARC051,Garland County,Arkansas
ARC053,Grant County,Arkansas
ARC055,Greene County,Arkansas
ARC057,Hempstead County,Arkansas
ARC059,Hot Spring County,Arkansas
ARC061,Howard County,Arkansas
ARC063,Independence County,Arkansas
ARC065,Izard County,Arkansas
ARC067,Jackson County,Arkansas
ARC069,Jefferson County,Arkansas
ARC071,Johnson County,Arkansas
ARC073,Lafayette County,Arkansas
ARC075,Lawrence County,Arkansas
ARC077,Lee County,Arkansas
ARC079,Lincoln County,Arkansas
ARC081,Little River County,Arkansas
ARC083,Logan County,Arkansas
ARC085,Lonoke County,Arkansas
ARC087,Madison County,Arkansas
ARC089,Marion County,Arkansas
ARC091,Miller County,Arkansas
ARC093,Mississippi County,Arkansas
ARC095,Monroe County,Arkansas
ARC097,Montgomery County,Arkansas
ARC099,Nevada County,Arkansas
ARC101,Newton County,Arkansas
ARC103,Ouachita County,Arkansas
ARC105,Perry County,Arkansas
ARC107,Phillips County,Arkansas
ARC109,Pike County,Arkansas
ARC111,Poinsett County,Arkansas
ARC113,Polk County,Arkansas
ARC115,Pope County,Arkansas
ARC117,Prairie County,Arkansas
ARC119,Pulaski County,Arkansas
ARC121,Randolph County,Arkansas
ARC123,St. Francis County,Arkansas
ARC125,Saline County,Arkansas
ARC127,Scott County,Arkansas
ARC129,Searcy County,Arkansas
ARC131,Sebastian County,Arkansas
ARC133,Sevier County,Arkansas
ARC135,Sharp County,Arkansas
ARC137,Stone County,Arkansas
ARC139,Union County,Arkansas
ARC141,Van Buren County,Arkansas
ARC143,Washington County,Arkansas
ARC145,White County,Arkansas
ARC147,Woodruff County,Arkansas
ARC149,Yell County,Arkansas
CAC001,Alameda County,California
