id,fullname,lat,lon
KAPD,KAPD - Fairbanks/Pedro Dome,65.035,-147.50167
KAEC,KAEC - Fairbanks/Nome,64.51139,-165.295
KACG,KACG - Juneau/Sitka,56.85278,-135.52917
KAIH,KAIH - Anchorage/Middleton Island,59.46139,-146.30306
KABC,KABC - Anchorage/Bethel,60.79194,-161.87639
KAHG,KAHG - Anchorage/Nikiski,60.72583,-151.35139
KAKC,KAKC - Anchorage/King Salmon,58.67944,-156.62944
KBMX,KBMX - Birmingham/Alabaster,33.17222,-86.76972
KMOB,KMOB - Mobile,30.67944,-88.23972
KHTX,KHTX - Birmingham/Northeastern Al,34.93056,-86.08333
KMXX,KMXX - Birmingham/Maxwell Afb,32.53667,-85.78972
KEOX,KEOX - Birmingham/Fort Rucker,31.46056,-85.45944
KLZK,KLZK - Little Rock/N Little Rock,34.83639,-92.26222
KSRX,KSRX - Tulsa/Western Arkansas,35.29056,-94.36167
KIWA,KIWA - Phoenix/Mesa,33.28917,-111.67
KEMX,KEMX - Tucson/Pima County,31.89361,-110.63028
KFSX,KFSX - Flagstaff/Coconino,34.57444,-111.19778
KYUX,KYUX - Phoenix/Yuma,32.49528,-114.65667
KDAX,KDAX - Sacramento,38.50111,-121.67778
KVTX,KVTX - Los Angeles/Ventura County,34.41167,-119.17944
KMUX,KMUX - San Francisco Bay Area/Santa,37.15528,-121.89833
KBHX,KBHX - Eureka/Humboldt County,40.49833,-124.29194
KHNX,KHNX - San Joaquin Valley/Hanford,36.31417,-119.63222
KNKX,KNKX - San Diego,32.91889,-117.04194
KSOX,KSOX - San Diego/Orange County,33.81778,-117.63583
KVBX,KVBX - Los Angeles/Orcutt Oil Field,34.83806,-120.39694
KEYX,KEYX - Las Vegas/Edwards Afb,35.09778,-117.56083
KBBX,KBBX - Sacramento/Oro Dam Blvd West,39.49611,-121.63167
KFTG,KFTG - Denver/Boulder,39.78667,-104.54583
KPUX,KPUX - Pueblo/Pueblo County,38.45944,-104.18139
KGJX,KGJX - Grand Junction/Mesa,39.06222,-108.21389
KDOX,KDOX - Wakefield/Ellendale State Fo,38.82556,-75.43972
KMLB,KMLB - Melbourne,28.11333,-80.65417
KAMX,KAMX - Miami,25.61111,-80.41278
