site,latitude,longitude
North Entry,47.207705,-88.61791
Lake Linden,47.186021,-88.410406
Hubbel,47.171201,-88.428806
Torch Waterfall,47.154063,-88.452368
Swedetown Creek,47.13842,-88.623149
Lift Bridge,47.122371,-88.57522
Dollar Bay,47.114456,-88.495458
Grosse Point,47.091718,-88.457352
Bootjack,47.054823,-88.473961
Chassell,47.054172,-88.51779
Pike Bay,47.027697,-88.52221
Sturgeon River,47.018014,-88.506136
Sturgeon Sloughs,47.011011,-88.492747
South Entry,46.988887,-88.436962
Ravine Lower,46.840137,-88.251643
Ravine Middle,46.837954,-88.213994
Lower Slate River,46.832977,-88.258487
Upper Slate River,46.791234,-88.245208
Sturgeon Nestoria,46.576316,-88.296391
