FAC_NAME,FAC_CITY,FAC_STATE,FAC_COUNTY,FAC_LAT,FAC_LONG,NPDES_IDS
LAWRENCE COUNTY WEED BOARD,SPEARFISH,SD,LAWRENCE,44.486821,-103.861216,
SANFORD CLINIC - FAMILY MEDICINE,SIOUX FALLS,SD,MINNEHAHA,43.50759,-96.76746,
AMERICAN TEL & TEL CO LONG LINES,HEREFORD,SD,MEADE,44.606792,-102.715864,
NEW UNDERWOOD,,SD,PENNINGTON,44.002349,-102.823802,
INTERSTATE COLLISION & GLASS,DELL RAPIDS,SD,MINNEHAHA,43.821834,-96.781,
AMOCO OIL SS #7468 (FORMER),HOT SPRINGS,SD,FALL RIVER,43.424288,-103.470353,
SIOUX FALLS KOA,,SD,,43.544362,-96.723773,
POTTER COUNTY GRAIN,GETTYSBURG,SD,POTTER,45.0071,-99.95422,
GFP 1-C/E PICKEREL CAMPGROUND,,SD,,44.446796,-100.238176,
DEPENDABLE SANITATION INC.,ABERDEEN,SD,BROWN,45.487075,-98.484174,
VIBORG,,SD,TURNER,43.30867,-97.150185,
SUNSET CREEK,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.523333,-96.842222,SDR10J022
CODDINGTON CO IMP (FORMER),WATERTOWN,SD,CODINGTON,44.973747,-97.055201,
CANOVA,,SD,MINER,44.017327,-97.60979,
CASEYS GENERAL STORE,PARKSTON,SD,HUTCHINSON,43.389571,-97.995841,
NIJAC ROOFING (F.K.A. KOOIKER ROOFING),SIOUX FALLS,SD,MINNEHAHA,43.459087,-96.801063,
COMPONENT MANUFACTURING WAREHOUSE,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.593518,-96.724464,SDR10H517
WESTERN CONSTRUCTION INC,RAPID CITY,SD,PENNINGTON,44.079112,-103.215617,
LOMA LINDA CAMPGROUND,,SD,,44.446796,-100.238176,
AUTONET FILLING AREA,TEA,SD,LINCOLN COUNTY,43.4602,-96.8216,SDR10J419
LIEN TRANSPORTATION COMPANY,ABERDEEN,SD,BROWN,45.487075,-98.484174,
SISSETON,,SD,ROBERTS,45.623397,-96.947551,
AVON,AVON,SD,BON HOMME,43.00277,-98.05355,
RESPEC RAPID CITY OFFICE EXPANSION,RAPID CITY,SD,,44.0747,-103.1547,SDR10K934
CCL HEALTHCARE SIOUX FALLS,SIOUX FALLS,SD,MINNEHAHA,43.562867,-96.787225,
FOUR PRESIDENTS BEST WESTERN,,SD,,44.446796,-100.238176,
FORT PIERRE,,SD,STANLEY,44.415547,-100.749163,
COE-LK S/JOE CREEK,,SD,,44.446796,-100.238176,
WINDERMERE POINTE ADDITION,BROOKINGS,SD,BROOKINGS COUNTY,44.284444,-96.779722,SDR10F360
BLACK HILLS RETREAT CENTER 1,,SD,LAWRENCE,44.353669,-103.796528,
CARDINAL INDUSTRIES INC.,ABERDEEN,SD,BROWN,45.47283,-98.44179,
FOX RUN QUIK LUBE,YANKTON,SD,YANKTON,42.89822,-97.39879,
22ND AVE PHASE 2 RECONSTRUCTION PROJECT,BROOKINGS,SD,,44.193976,-96.855435,SDR10L025
CLASSIC COLLISION AND FRAME,MENNO,SD,HUTCHINSON,43.234896,-97.576297,
WHITE RIVER - CITY OF,WHITE RIVER,SD,MELLETTE,43.575808,-100.755467,SD0022063
KIWANIS GAS STOP,SIOUX FALLS,SD,MINNEHAHA,43.55281,-96.76118,
MERLYN DRAKE,WAUBAY,SD,DAY,45.369885,-97.219614,SDR10E041
NORFELD COLONY SWINE CONFINEMENT,WHITE,SD,BROOKINGS COUNTY,44.419685,-96.565979,SDR10J059
BLACK HILLS RETREAT CENTER 2,,SD,LAWRENCE,44.353669,-103.796528,
MERTENS DENTAL LABORATORY,RAPID CITY,SD,PENNINGTON,44.0811,-103.25049,
PCN 084G,WHITE,SD,,44.4,-96.7071,SDR10P525
BNSF RAILWAY - SIOUX FALLS DRUM REMOVAL,SIOUX FALLS,SD,MINNEHAHA,43.557172,-96.719969,
SPRING VALLEY COLONY,,SD,,44.446796,-100.238176,
SUNDOWNER FLEX,TEA,SD,,43.4642,-96.8058,SDR10P53I
WILLIE'S AUTO ELECTRIC,SIOUX FALLS,SD,MINNEHAHA,43.587473,-96.707139,
"NORRIS, COMMUNITY OF(BLACK PIP",NORRIS,SD,MELLETTE,42.478889,-101.194722,SDU000022
CVS PHARMACY INC.,SIOUX FALLS,SD,MINNEHAHA,43.5378,-96.65464,
ROSEBUD UTILITIES COMMISSION,,SD,,44.446796,-100.238176,
BECKMAN DEVELOPMENT CO,SIOUX FALLS,SD,MINNEHAHA,43.54428,-96.7283,
LEWIS AND CLARK BEHAVIORAL HEALTH ADDITION,YANKTON,SD,YANKTON COUNTY,42.887955,-97.39349,SDR10K877
KARLEN FAMILY PARTNERSHIP,RELIANCE,SD,LYMAN,43.986943,-99.561815,
COUNTRY VILLAGE/SOUTH,,SD,PENNINGTON,44.002349,-102.823802,
LANAST LLC DBA ARCTIC ICE,NORTH SIOUX CITY,SD,UNION,42.5324,-96.49756,SD0027588
ACE STEEL - BORROW SITE GRADING,RAPID CITY,SD,PENNINGTON COUNTY,44.096311,-103.169278,SDR10J422
WAKPAMNI WATER SYSTEM-TREATMENT PLANT,PINE RIDGE,SD,,43.18799,-102.74493,
GRANT PARK ADDITION,BALTIC,SD,MINNEHAHA COUNTY,43.7558,-96.7292,SDR10K562
PLAZA CLEANERS,MITCHELL,SD,DAVISON,43.717048,-98.02559,
FILLING LOW AREA,BROOKINGS,SD,BROOKINGS COUNTY,44.3195,-96.8238,SDR10E998
VETAL ELEMENTARY SCHOOL,,SD,,44.446796,-100.238176,
C&S NEW SITE,PUKWANA,SD,BRULE COUNTY,43.770493,-99.183049,SDR10K128
ABERDEEN VA OUTPATIENT CLINIC,ABERDEEN,SD,BROWN COUNTY,45.455502,-98.440644,SDR10J687
VISTA HILLS,,SD,,44.446796,-100.238176,
LARSSON'S CROOKED CREEK CG-NEW,,SD,Pennington,43.933713,-103.570374,
HARRISBURG,,SD,LINCOLN,43.27942,-96.722286,
WILSON SHOP BUILDINGS,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.577594,-96.706985,SDR10K278
PROJECT P 0034(195)232; PCN 05J0 STRUCTURE DECK REPLACEMENT,DE GREY,SD,HUGHES COUNTY,44.2872,-99.9233,SDR10I00G
NORTHERN BORDER PIPELINE COMPANY - ESTELLINE COMPRESSOR,BRANDT,SD,DEUEL,44.326103,-96.806748,
GREENWOOD COLONY,,SD,DOUGLAS,43.391506,-98.358433,
HORSESHOE ACRES WATER ASSOCIATION,,SD,MEADE,44.606792,-102.715864,
RAPID CITY ATHLETIC CLUB,RAPID CITY,SD,PENNINGTON,44.067734,-103.310357,
WAGNER HIGH SCHOOL - 2021 CLASSROOM ADDITION,WAGNER,SD,CHARLES MIX COUNTY,43.077954,-98.306838,SDR10K368
CONCRETE MATERIALS - CHANCELLOR READY-MIX PLANT,CHANCELLOR,SD,TURNER,43.37172,-96.97779,
EUREKA READY MIX PIT,LEOLA,SD,MCPHERSON,45.822528,-99.4745,SD0027219
WYOMING RESOURCES CORPORATION,RAPID CITY,SD,PENNINGTON,44.07182,-103.25571,
CEDAR POINT ADDITION,VOLGA,SD,BROOKINGS COUNTY,44.217683,-96.894521,SDR10J699
PIEDMONT RV SALES & OUTDOOR STORE,PIEDMONT,SD,MEADE COUNTY,44.215475,-103.368622,SDR10K720
BULLDOG CREEK CAMPGROUND,,SD,Meade,44.409462,-103.518474,
PIERRE FB/CH/PO,PIERRE,SD,HUGHES,44.36711,-100.35328,
TRIPLE R RANCH CAMPGROUND,,SD,,44.446796,-100.238176,
ESTES EXPRESS LINES,SIOUX FALLS,SD,MINNEHAHA,43.56666,-96.7721,
FAITH MUNICIPAL AIRPORT,FAITH,SD,MEADE COUNTY,45.023911,-102.015414,SDR10J144
LINE-X SITE CONSTRUCTION,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.553056,-96.783611,SDR10K602
5TH STREET / 6TH STREET / IOWA AVE INFRASTRUCTURE,DELL RAPIDS,SD,MINNEHAHA COUNTY,43.825278,-96.704167,SDR10K133
MIDWEST COMPANIES,SIOUX FALLS,SD,MINNEHAHA,43.56634,-96.73753,
REDFIELD EQUIPMENT COMPANY,REDFIELD,SD,SPINK,44.898694,-98.511722,SD0028479
FREDERICK WASTEWATER TREATMENT,FREDERICK,SD,BROWN,45.763836,-98.496975,
"RING-NECK ENERGY & FEED, LLC",ONIDA,SD,SULLY,44.69334,-100.062568,SD0028629
CONTRACTOR CAMP 4,COLOME,SD,TRIPP,43.262525,-99.715985,SD0028608
"PHILIP MOTOR, INC.",PHILIP,SD,HAAKON,44.038967,-101.665466,
HARMS OIL COMPANY,SIOUX FALLS,SD,MINNEHAHA,43.54635,-96.78436,
BUHLS LAUNDRY DRYCLEANERS & LINEN INC.,YANKTON,SD,YANKTON,42.86874,-97.39384,
INTEX CORPORATION,SOUTH DAKOTA,SD,WRIGHT,45.245746,-93.660545,
HAUCKS BAY ADDITION,LAKE PRESTON,SD,KINGSBURY COUNTY,44.310833,-97.424444,SDR10K094
