StationID,WaterbodyName,Type,Latitude,Longitude,AU_ID
BIGSTONBS06,Little Minnesota River,Chemistry,45.5863,-96.8307,SD-MN-R-LITTLE_MINNESOTA_01
BIGSTONBS07,null,Chemistry,45.5435,-96.7611,null
BIGSTONBS08,null,Chemistry,45.5018,-96.7349,null
BIGSTONBS09,null,Chemistry,45.4164,-96.6437,null
BIGSTONBS09Y,null,Chemistry,45.4431,-96.6538,null
BIGSTONBS09Z,null,Chemistry,45.4366,-96.6365,null
BIGSTONBS10,null,Chemistry,45.390381,-96.542408,null
BIGSTONBS11,null,Chemistry,45.3887,-96.5123,null
BIGSTONBS12A,null,Chemistry,45.2969,-96.4489,null
BIGSTONBS13,null,Chemistry,45.298,-96.4494,null
BIGSTONBS14,null,Chemistry,45.298,-96.4494,null
BIGSTONBS8A,null,Chemistry,45.51,-96.72,null
HENDRICHL01,Lake Hendricks,Chemistry,44.4984,-96.4396,SD-MN-L-HENDRICKS_01
HENDRICHT01,null,Chemistry,44.5048,-96.4342,null
HENDRICHT02,null,Chemistry,44.4856,-96.4444,null
SWLAZZZ9609C,Lake Hendricks,Chemistry,44.4984,-96.4396,SD-MN-L-HENDRICKS_01
ELMZZZZELT01,null,Chemistry,45.9818,-98.67,null
ELMZZZZELT03,null,Chemistry,45.9387,-98.7094,null
ELMZZZZELT03A,null,Chemistry,45.9531,-98.7216,null
ELMZZZZELT03B,null,Chemistry,45.9739,-98.7347,null
ELMZZZZELT03C,null,Chemistry,45.9966,-98.7218,null
GFPZZZ2701,Angostura Reservoir,Chemistry,43.3173,-103.4248,SD-CH-L-ANGOSTURA_01
SWLAZZZ2701,Angostura Reservoir,Chemistry,43.3173,-103.4248,SD-CH-L-ANGOSTURA_01
SWLAZZZ2701A,Angostura Reservoir,Chemistry,43.3384,-103.4387,SD-CH-L-ANGOSTURA_01
SWLAZZZ2701B,Angostura Reservoir,Chemistry,43.3173,-103.4248,SD-CH-L-ANGOSTURA_01
SWLAZZZ2701C,Angostura Reservoir,Chemistry,43.2986,-103.427,SD-CH-L-ANGOSTURA_01
GFPZZZ2705,Cold Brook Reservoir,Chemistry,43.4567,-103.4886,SD-CH-L-COLD_BROOK_01
SWLAZZZ2705,Cold Brook Reservoir,Chemistry,43.4567,-103.4886,SD-CH-L-COLD_BROOK_01
