# the second line is the name of the group for each of these map regions values are: Name,ID,lat,lon
Cities
Ahmadābād,Ahmadābād,23.0300,72.5800
Bangalore,Bangalore,12.9699,77.5980
Bangkok,Bangkok,13.7500,100.5167
Baoding,Baoding,38.8671,115.4845
Beijing,Beijing,39.9050,116.3914
Bijie,Bijie,27.3019,105.2863
Bogotá,Bogotá,4.6126,-74.0705
Buenos Aires,Buenos Aires,-34.5997,-58.3819
Cairo,Cairo,30.0561,31.2394
Cangzhou,Cangzhou,38.3037,116.8452
Changchun,Changchun,43.9000,125.2000
Changsha,Changsha,28.1987,112.9709
Chengdu,Chengdu,30.6636,104.0667
Chennai,Chennai,13.0825,80.2750
Chicago,Chicago,41.8373,-87.6862
Chongqing,Chongqing,29.5500,106.5069
Dar es Salaam,Dar es Salaam,-6.8000,39.2833
Delhi,Delhi,28.6600,77.2300
Dhaka,Dhaka,23.7161,90.3961
Dongguan,Dongguan,23.0475,113.7493
Foshan,Foshan,23.0292,113.1056
Fuyang,Fuyang,32.8986,115.8045
Ganzhou,Ganzhou,25.8292,114.9336
Guangzhou,Guangzhou,23.1288,113.2590
Handan,Handan,36.6116,114.4894
Hangzhou,Hangzhou,30.2500,120.1675
Hanoi,Hanoi,21.0245,105.8412
Hefei,Hefei,31.8639,117.2808
Hengyang,Hengyang,26.8968,112.5857
Heze,Heze,35.2333,115.4333
Ho Chi Minh City,Ho Chi Minh City,10.8167,106.6333
Hong Kong,Hong Kong,22.3050,114.1850
Huanggang,Huanggang,30.4500,114.8750
Hyderābād,Hyderābād,17.3667,78.4667
Istanbul,Istanbul,41.0100,28.9603
Jakarta,Jakarta,-6.2146,106.8451
Jining,Jining,35.4000,116.5667
Karachi,Karachi,24.8600,67.0100
Khartoum,Khartoum,15.6031,32.5265
Kinshasa,Kinshasa,-4.3317,15.3139
Kolkāta,Kolkāta,22.5411,88.3378
Kuala Lumpur,Kuala Lumpur,3.1478,101.6953
Kunming,Kunming,25.0433,102.7061
Lagos,Lagos,6.4500,3.4000
Lahore,Lahore,31.5497,74.3436
Lima,Lima,-12.0500,-77.0333
Linyi,Linyi,35.0606,118.3425
London,London,51.5072,-0.1275
Los Angeles,Los Angeles,34.1139,-118.4068
Luanda,Luanda,-8.8383,13.2344
Luoyang,Luoyang,34.6587,112.4245
Lu’an,Lu’an,31.7542,116.5078
Manila,Manila,14.5958,120.9772
Maoming,Maoming,21.6618,110.9178
Mexico City,Mexico City,19.4333,-99.1333
Miami,Miami,25.7839,-80.2102
Moscow,Moscow,55.7558,37.6178
Mumbai,Mumbai,18.9667,72.8333
Nagoya,Nagoya,35.1167,136.9333
Nanchong,Nanchong,30.7991,106.0784
Nanjing,Nanjing,32.0500,118.7667
Nanning,Nanning,22.8192,108.3150
Nantong,Nantong,31.9829,120.8873
Nanyang,Nanyang,32.9987,112.5292
New York,New York,40.6943,-73.9249
Ningbo,Ningbo,29.8750,121.5492
Onitsha,Onitsha,6.1667,6.7833
Paris,Paris,48.8566,2.3522
Pune,Pune,18.5196,73.8553
Quanzhou,Quanzhou,24.9139,118.5858
Rio de Janeiro,Rio de Janeiro,-22.9083,-43.1964
Riyadh,Riyadh,24.6500,46.7100
Santiago,Santiago,-33.4500,-70.6667
Seoul,Seoul,37.5833,127.0000
Shanghai,Shanghai,31.1667,121.4667
Shangrao,Shangrao,28.4419,117.9633
Shaoyang,Shaoyang,27.2418,111.4725
Shenyang,Shenyang,41.8039,123.4258
Shenzhen,Shenzhen,22.5350,114.0540
Shijiazhuang,Shijiazhuang,38.0422,114.5086
São Paulo,São Paulo,-23.5504,-46.6339
Tangshan,Tangshan,39.6292,118.1742
Tehran,Tehran,35.7000,51.4167
Tianjin,Tianjin,39.1467,117.2056
Tokyo,Tokyo,35.6897,139.6922
Tongshan,Tongshan,34.2610,117.1859
Weifang,Weifang,36.7167,119.1000
Wuhan,Wuhan,30.5872,114.2881
Xinyang,Xinyang,32.1264,114.0672
Xi’an,Xi’an,34.2667,108.9000
Yancheng,Yancheng,33.3936,120.1339
Yantai,Yantai,37.3997,121.2664
Yichun,Yichun,27.8041,114.3830
Zhanjiang,Zhanjiang,21.1967,110.4031
Zhengzhou,Zhengzhou,34.7492,113.6605
Zhoukou,Zhoukou,33.6250,114.6418
Zhumadian,Zhumadian,32.9773,114.0253
Zunyi,Zunyi,27.7050,106.9336
Ōsaka,Ōsaka,34.6936,135.5019
