#abbr	name	fips	lat	lon
AL	Alabama	01	 33.001471	-86.766233
AK	Alaska	02	 61.288254	-148.716968
AZ	Arizona	04	 33.373506	-111.828711
AR	Arkansas	05	 35.080251	-92.576816
CA	California	06	 35.458606	-119.355165
CO	Colorado	08	 39.500656	-105.203628
CT	Connecticut	09	 41.494852	-72.874365
DE	Delaware	10	 39.397164	-75.561908
DC	District of Columbia	11	 38.910092	-77.014001
FL	Florida	12	 27.795850	-81.634622
GA	Georgia	13	 33.332208	-83.868887
HI	Hawaii	15	 21.146768	-157.524452
ID	Idaho	16	 44.242605	-115.133222
IL	Illinois	17	 41.278216	-88.380238
IN	Indiana	18	 40.163935	-86.261515
IA	Iowa	19	 41.960392	-93.049161
KS	Kansas	20	 38.454303	-96.536052
KY	Kentucky	21	 37.808159	-85.241819
LA	Louisiana	22	 30.699270	-91.457133
ME	Maine	23	 44.313614	-69.719931
MD	Maryland	24	 39.145653	-76.797396
MA	Massachusetts	25	 42.271831	-71.363628
MI	Michigan	26	 42.866412	-84.170753
MN	Minnesota	27	 45.210782	-93.583003
MS	Mississippi	28	 32.566420	-89.593164
MO	Missouri	29	 38.437715	-92.153770
MT	Montana	30	 46.813302	-111.209708
NE	Nebraska	31	 41.183753	-97.403875
NV	Nevada	32	 37.165965	-116.304648
NH	New Hampshire	33	 43.153046	-71.463342
NJ	New Jersey	34	 40.438458	-74.428055
NM	New Mexico	35	 34.623012	-106.342108
NY	New York	36	 41.507548	-74.645228
NC	North Carolina	37	 35.553334	-79.667654
ND	North Dakota	38	 47.375168	-99.334736
OH	Ohio	39	 40.480854	-82.749366
OK	Oklahoma	40	 35.597940	-96.834653
OR	Oregon	41	 44.732273	-122.579524
PA	Pennsylvania	42	 40.463528	-77.075925
RI	Rhode Island	44	 41.753318	-71.448902
SC	South Carolina	45	 34.034551	-81.032387
SD	South Dakota	46	 44.047502	-99.043799
TN	Tennessee	47	 35.795862	-86.397772
TX	Texas	48	 30.943149	-97.388631
UT	Utah	49	 40.438987	-111.900160
VT	Vermont	50	 44.081127	-72.814309
VA	Virginia	51	 37.750345	-77.835857
WA	Washington	53	 47.341728	-121.624501
WV	West Virginia	54	 38.767195	-80.820221
WI	Wisconsin	55	 43.728544	-89.001006
WY	Wyoming	56	 42.675762	-107.008835
PR	Puerto Rico	72	 18	-66.0

