# the second line is the name of the group for each of these map regions values are: Name,ID,North,West,South,East
US States
Alabama,Alabama,35.008028,-88.473227,30.223334,-84.88908
Alaska,Alaska,71.365162,-179.148909,51.214183,179.77847
American Samoa,American Samoa,-11.046934,-171.089874,-14.548699,-168.1433
Arizona,Arizona,37.00426,-114.81651,31.332177,-109.045223
Arkansas,Arkansas,36.4996,-94.617919,33.004106,-89.644395
California,California,42.009518,-124.409591,32.534156,-114.131211
Colorado,Colorado,41.003444,-109.060253,36.992426,-102.041524
Connecticut,Connecticut,42.050587,-73.727775,40.980144,-71.786994
Delaware,Delaware,39.839007,-75.788658,38.451013,-75.048939
District of Columbia,District of Columbia,38.99511,-77.119759,38.791645,-76.909395
Florida,Florida,31.000888,-87.634938,24.523096,-80.031362
Georgia,Georgia,35.000659,-85.605165,30.357851,-80.839729
Guam,Guam,13.654383,144.618068,13.234189,144.956712
Hawaii,Hawaii,28.402123,-178.334698,18.910361,-154.806773
Idaho,Idaho,49.001146,-117.243027,41.988057,-111.043564
Illinois,Illinois,42.508481,-91.513079,36.970298,-87.494756
Indiana,Indiana,41.760592,-88.09776,37.771742,-84.784579
Iowa,Iowa,43.501196,-96.639704,40.375501,-90.140061
Kansas,Kansas,40.003162,-102.051744,36.993016,-94.588413
Kentucky,Kentucky,39.147458,-89.571509,36.497129,-81.964971
Louisiana,Louisiana,33.019457,-94.043147,28.928609,-88.817017
Maine,Maine,47.459686,-71.083924,42.977764,-66.949895
Maryland,Maryland,39.723043,-79.487651,37.911717,-75.048939
Massachusetts,Massachusetts,42.886589,-73.508142,41.237964,-69.928393
Michigan,Michigan,48.2388,-90.418136,41.696118,-82.413474
Minnesota,Minnesota,49.384358,-97.239209,43.499356,-89.491739
Mississippi,Mississippi,34.996052,-91.655009,30.173943,-88.097888
Missouri,Missouri,40.61364,-95.774704,35.995683,-89.098843
Montana,Montana,49.00139,-116.050003,44.358221,-104.039138
Nebraska,Nebraska,43.001708,-104.053514,39.999998,-95.30829
Nevada,Nevada,42.002207,-120.005746,35.001857,-114.039648
New Hampshire,New Hampshire,45.305476,-72.557247,42.69699,-70.610621
New Jersey,New Jersey,41.357423,-75.559614,38.928519,-73.893979
New Mexico,New Mexico,37.000232,-109.050173,31.332301,-103.001964
New York,New York,45.01585,-79.762152,40.496103,-71.856214
North Carolina,North Carolina,36.588117,-84.321869,33.842316,-75.460621
North Dakota,North Dakota,49.000574,-104.0489,45.935054,-96.554507
Ohio,Ohio,41.977523,-84.820159,38.403202,-80.518693
Oklahoma,Oklahoma,37.002206,-103.002565,33.615833,-94.430662
Oregon,Oregon,46.292035,-124.566244,41.991794,-116.463504
Pennsylvania,Pennsylvania,42.26986,-80.519891,39.7198,-74.689516
Puerto Rico,Puerto Rico,18.515683,-67.945404,17.88328,-65.220703
Rhode Island,Rhode Island,42.018798,-71.862772,41.146339,-71.12057
South Carolina,South Carolina,35.215402,-83.35391,32.0346,-78.54203
South Dakota,South Dakota,45.94545,-104.057698,42.479635,-96.436589
Tennessee,Tennessee,36.678118,-90.310298,34.982972,-81.6469
Texas,Texas,36.500704,-106.645646,25.837377,-93.508292
United States Virgin Islands,United States Virgin Islands,18.412655,-65.085452,17.673976,-64.564907
Utah,Utah,42.001567,-114.052962,36.997968,-109.041058
Vermont,Vermont,45.016659,-73.43774,42.726853,-71.464555
Virginia,Virginia,39.466012,-83.675395,36.540738,-75.242266
Washington,Washington,49.002494,-124.763068,45.543541,-116.915989
West Virginia,West Virginia,40.638801,-82.644739,37.201483,-77.719519
Wisconsin,Wisconsin,47.080621,-92.888114,42.491983,-86.805415
Wyoming,Wyoming,45.005904,-111.056888,40.994746,-104.05216
