#from: https://www.census.gov/geo/maps-data/data/gazetteer2010.html
#GEOID	NAME	UATYPE	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                           
00037	Abbeville, LA Urban Cluster	C	19824	8460	29222871	300497	      11.283	       0.116	 29.967602	 -92.098219                                                                                         
00064	Abbeville, SC Urban Cluster	C	5243	2578	11315197	19786	       4.369	       0.008	 34.179237	 -82.379726                                                                                           
00091	Abbotsford, WI Urban Cluster	C	3966	1616	5363441	13221	       2.071	       0.005	 44.948612	 -90.315875                                                                                           
00118	Aberdeen, MS Urban Cluster	C	4666	2050	7416616	52732	       2.864	       0.020	 33.824742	 -88.554591                                                                                             
00145	Aberdeen, SD Urban Cluster	C	25977	12114	33002447	247597	      12.742	       0.096	 45.463186	 -98.471033                                                                                         
00172	Aberdeen, WA Urban Cluster	C	29856	13139	39997951	1929689	      15.443	       0.745	 46.976365	-123.796056                                                                                        
00199	Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area	U	213751	83721	339626464	9825290	     131.131	       3.794	 39.508977	 -76.303430                                                       
00226	Abernathy, TX Urban Cluster	C	2785	1124	3051109	12572	       1.178	       0.005	 33.830523	-101.846278                                                                                            
00253	Abilene, KS Urban Cluster	C	7054	3238	8773263	1877	       3.387	       0.001	 38.921060	 -97.220754                                                                                               
00280	Abilene, TX Urbanized Area	U	110421	46732	141756054	988193	      54.732	       0.382	 32.428466	 -99.747188                                                                                       
00334	Abingdon, IL Urban Cluster	C	3389	1483	3731303	0	       1.441	       0.000	 40.804182	 -90.401520                                                                                                 
00388	Ada, OH Urban Cluster	C	5945	1906	4769036	0	       1.841	       0.000	 40.767274	 -83.824641                                                                                                      
00415	Ada, OK Urban Cluster	C	17400	8086	30913906	89140	      11.936	       0.034	 34.774803	 -96.669103                                                                                                
00450	Adams, NY Urban Cluster	C	2542	1100	5107296	13914	       1.972	       0.005	 43.808664	 -76.021178                                                                                                
00469	Adel, GA Urban Cluster	C	6986	2990	15634050	204861	       6.036	       0.079	 31.145731	 -83.429099                                                                                               
00496	Adel, IA Urban Cluster	C	3170	1317	4624127	0	       1.785	       0.000	 41.612218	 -94.020971                                                                                                     
00550	Adjuntas, PR Urban Cluster	C	11122	4637	20440722	156185	       7.892	       0.060	 18.166604	 -66.729934                                                                                          
00577	Adrian, MI Urban Cluster	C	44823	18178	62219496	614833	      24.023	       0.237	 41.914086	 -84.049778                                                                                           
00631	Aguadilla--Isabela--San Sebastián, PR Urbanized Area	U	306196	138431	619716445	902076	     239.274	       0.348	 18.369286	 -67.040259                                                            
00658	Ahoskie, NC Urban Cluster	C	4951	2267	7551326	0	       2.916	       0.000	 36.287865	 -76.983282                                                                                                  
00676	Air Force Academy, CO Urban Cluster	C	5512	326	6458442	0	       2.494	       0.000	 38.985935	-104.858324                                                                                         
00712	Ajo, AZ Urban Cluster	C	3076	2006	6906091	0	       2.666	       0.000	 32.388730	-112.868913                                                                                                      
00739	Akron, NY Urban Cluster	C	2982	1426	6779971	0	       2.618	       0.000	 43.020471	 -78.493346                                                                                                    
00766	Akron, OH Urbanized Area	U	569499	257659	842722918	17432485	     325.377	       6.731	 41.066225	 -81.491897                                                                                      
00793	Alachua, FL Urban Cluster	C	4114	1816	9761708	31222	       3.769	       0.012	 29.791337	 -82.507892                                                                                              
00820	Alamogordo, NM Urban Cluster	C	31862	14793	42885251	54253	      16.558	       0.021	 32.902756	-105.949613                                                                                        
00847	Alamosa, CO Urban Cluster	C	9751	4057	18886598	0	       7.292	       0.000	 37.458831	-105.872247                                                                                                 
00901	Albany, GA Urbanized Area	U	95779	40430	183486824	2789526	      70.845	       1.077	 31.591097	 -84.168827                                                                                        
00921	Albany, MN Urban Cluster	C	2564	1070	4331253	285662	       1.672	       0.110	 45.630888	 -94.569355                                                                                              
00955	Albany, OR Urbanized Area	U	56997	23542	62063265	299239	      23.963	       0.116	 44.630995	-123.091188                                                                                          
00970	Albany--Schenectady, NY Urbanized Area	U	594962	266370	765942841	16280778	     295.732	       6.286	 42.746355	 -73.800509                                                                        
00982	Albemarle, NC Urban Cluster	C	16823	7929	44414396	63396	      17.148	       0.024	 35.375322	 -80.189318                                                                                          
01009	Albert Lea, MN Urban Cluster	C	17868	8343	25515204	1396609	       9.851	       0.539	 43.656119	 -93.379007                                                                                       
01036	Albertville, AL Urban Cluster	C	36815	14980	92837874	5174684	      35.845	       1.998	 34.268074	 -86.223507                                                                                     
01063	Albia, IA Urban Cluster	C	3573	1660	5597705	0	       2.161	       0.000	 41.027003	 -92.805176                                                                                                    
01090	Albion, MI Urban Cluster	C	9219	3809	17101303	136506	       6.603	       0.053	 42.252722	 -84.755330                                                                                             
01117	Albion, NY Urban Cluster	C	8171	2780	7638287	0	       2.949	       0.000	 43.245788	 -78.193603                                                                                                   
01144	Albion, PA Urban Cluster	C	4574	1048	7434016	56074	       2.870	       0.022	 41.890344	 -80.355166                                                                                               
01171	Albuquerque, NM Urbanized Area	U	741318	314851	648969769	8921074	     250.569	       3.444	 35.141344	-106.628890                                                                                 
01198	Alderson, WV Urban Cluster	C	2632	789	3439605	92069	       1.328	       0.036	 37.727925	 -80.649268                                                                                              
01225	Aledo, IL Urban Cluster	C	3655	1684	5741926	30085	       2.217	       0.012	 41.198542	 -90.745194                                                                                                
01232	Aledo, TX Urban Cluster	C	4854	1620	12132649	173957	       4.684	       0.067	 32.680947	 -97.647372                                                                                              
01252	Alexander City, AL Urban Cluster	C	9400	4326	25158641	65446	       9.714	       0.025	 32.939745	 -85.957946                                                                                      
01279	Alexandria, LA Urbanized Area	U	82804	33935	169751977	906725	      65.542	       0.350	 31.260637	 -92.506129                                                                                     
01306	Alexandria, MN Urban Cluster	C	16983	8604	38463572	7440072	      14.851	       2.873	 45.900999	 -95.368300                                                                                       
01333	Alfred, NY Urban Cluster	C	4322	659	3117021	0	       1.203	       0.000	 42.256634	 -77.784266                                                                                                    
01360	Algoma, WI Urban Cluster	C	3070	1655	4785867	105292	       1.848	       0.041	 44.607208	 -87.444363                                                                                              
01387	Algona, IA Urban Cluster	C	5340	2618	6862990	45217	       2.650	       0.017	 43.072716	 -94.228677                                                                                               
01414	Alice, TX Urban Cluster	C	20974	8017	28150471	0	      10.869	       0.000	 27.752405	 -98.075029                                                                                                  
01441	Allegan, MI Urban Cluster	C	6322	2821	12221345	147540	       4.719	       0.057	 42.530023	 -85.849978                                                                                            
01468	Allendale, SC Urban Cluster	C	3307	1567	5948739	0	       2.297	       0.000	 33.008841	 -81.311258                                                                                                
01495	Allentown, PA--NJ Urbanized Area	U	664651	271233	896890519	10525918	     346.291	       4.064	 40.651115	 -75.442168                                                                              
