#USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
AL	0101	15713789797	2275081406	6067.128	878.414	31.001891	-87.788121                                                                                                                                    
AL	0102	26270297702	303013631	10143.019	116.994	31.702085	-86.076842                                                                                                                                    
AL	0103	19537542897	471443391	7543.488	182.025	33.150564	-85.700228                                                                                                                                     
AL	0104	23022180229	573042496	8888.914	221.253	34.11818	-87.213808                                                                                                                                      
AL	0105	9526355908	459160130	3678.147	177.283	34.755297	-86.711804                                                                                                                                      
AL	0106	10804487081	176314086	4171.636	68.075	33.260212	-86.71343                                                                                                                                       
AL	0107	26300824155	333842824	10154.805	128.897	32.449235	-87.640501                                                                                                                                    
AK	0200	1478942847588	245378425142	571023.05	94741.144	63.347356	-152.839733                                                                                                                            
AZ	0401	142540174317	358316318	55035.071	138.347	34.971013	-110.725925                                                                                                                                  
AZ	0402	20415842591	18975875	7882.601	7.327	31.916618	-109.938728                                                                                                                                       
AZ	0403	40631916586	8021754	15688.071	3.097	32.422322	-112.401298                                                                                                                                       
AZ	0404	86040099079	450608780	33220.269	173.981	34.590918	-113.203319                                                                                                                                   
AZ	0405	760302116	2222453	293.554	0.858	33.337434	-111.714412                                                                                                                                           
AZ	0406	1618997504	10687128	625.098	4.126	33.665518	-111.888589                                                                                                                                         
AZ	0407	530194546	1471911	204.709	0.568	33.427819	-112.118768                                                                                                                                           
AZ	0408	1398984849	3357498	540.151	1.296	33.693039	-112.299866                                                                                                                                          
AZ	0409	427461455	2209836	165.044	0.853	33.406007	-111.949996                                                                                                                                           
AR	0501	49936114692	1385759154	19280.442	535.045	35.293909	-91.258306                                                                                                                                   
AR	0502	12887838553	308511494	4976.022	119.117	35.099375	-92.378719                                                                                                                                     
AR	0503	13985796370	374570697	5399.946	144.623	36.138288	-94.062449                                                                                                                                     
AR	0504	57851018094	1053108736	22336.404	406.608	34.2242	-93.221113                                                                                                                                     
CA	0601	72832710500	1862150978	28120.868	718.981	40.731988	-121.510516                                                                                                                                  
CA	0602	33547166416	4121540969	12952.634	1591.336	40.094059	-123.464974                                                                                                                                 
CA	0603	16017918076	455618509	6184.553	175.915	39.031952	-122.089573                                                                                                                                    
CA	0604	33247237344	858181624	12836.831	331.346	37.982452	-119.927973                                                                                                                                   
CA	0605	4482242169	319134942	1730.603	123.219	38.515718	-122.462466                                                                                                                                     
CA	0606	453281924	10715312	175.013	4.137	38.594033	-121.479768                                                                                                                                          
CA	0607	1421621444	13505824	548.891	5.215	38.479477	-121.215371                                                                                                                                         
CA	0608	85192565830	384231703	32893.035	148.353	35.663147	-116.819796                                                                                                                                   
CA	0609	3239965355	140670622	1250.958	54.313	38.010406	-121.306562                                                                                                                                      
CA	0610	4714492680	54132138	1820.276	20.901	37.586323	-121.054426                                                                                                                                       
CA	0611	1268261958	101762202	489.679	39.291	37.903869	-122.000933                                                                                                                                       
CA	0612	100998610	211591694	38.996	81.696	37.785514	-122.434                                                                                                                                            
CA	0613	250701468	127070452	96.796	49.062	37.778962	-122.239248                                                                                                                                         
CA	0614	673063893	827178439	259.871	319.375	37.574978	-122.494352                                                                                                                                       
CA	0615	1549309489	73721922	598.192	28.464	37.643129	-121.835321                                                                                                                                        
CA	0616	7360934331	112169037	2842.073	43.309	37.108653	-120.518867                                                                                                                                      
CA	0617	480210528	21977820	185.41	8.486	37.441028	-121.966578                                                                                                                                           
CA	0618	1802223112	329968045	695.842	127.401	37.202203	-122.153806                                                                                                                                      
CA	0619	2372158274	15278128	915.895	5.899	37.223357	-121.525695                                                                                                                                         
CA	0620	12626762383	1572298761	4875.22	607.068	36.373286	-121.275218                                                                                                                                    
CA	0621	17431265691	33795774	6730.25	13.049	36.086714	-119.8515                                                                                                                                         
CA	0622	3018251260	9690476	1165.353	3.742	36.476928	-119.389571                                                                                                                                         
CA	0623	25644731063	99328695	9901.486	38.351	35.610684	-118.539057                                                                                                                                      
CA	0624	17825152679	3683942581	6882.33	1422.378	34.919633	-120.112845                                                                                                                                   
CA	0625	4379039987	30710591	1690.757	11.857	34.588065	-118.28027                                                                                                                                        
CA	0626	2431670449	807789047	938.873	311.889	34.167023	-119.129955                                                                                                                                      
CA	0627	1812769542	7530094	699.914	2.907	34.265083	-117.934887                                                                                                                                          
CA	0628	565803325	2402327	218.458	0.928	34.250058	-118.291452                                                                                                                                           
CA	0629	238963490	1012709	92.264	0.391	34.266695	-118.430313                                                                                                                                            
CA	0630	352055158	4978801	135.929	1.922	34.201899	-118.546954                                                                                                                                           
