Full name,Identifier,url
Creative Commons Attribution 4.0 International,CC-BY-4.0,https://spdx.org/licenses/preview/CC-BY-4.0.html#licenseText
Creative Commons Attribution Non Commercial 4.0 International,CC-BY-NC-4.0,https://spdx.org/licenses/preview/CC-BY-NC-4.0.html#licenseText
Creative Commons Attribution Non Commercial No Derivatives 4.0 International,CC-BY-NC-ND-4.0,https://spdx.org/licenses/preview/CC-BY-NC-ND-4.0.html#licenseText
Creative Commons Attribution Non Commercial Share Alike 4.0 International,CC-BY-NC-SA-4.0,https://spdx.org/licenses/preview/CC-BY-NC-SA-4.0.html#licenseText
Creative Commons Attribution No Derivatives 4.0 International,CC-BY-ND-4.0,https://spdx.org/licenses/preview/CC-BY-ND-4.0.html#licenseText
Creative Commons Attribution Share Alike 4.0 International,CC-BY-SA-4.0,https://spdx.org/licenses/preview/CC-BY-SA-4.0.html#licenseText
BSD Zero Clause License,0BSD,https://spdx.org/licenses/preview/0BSD.html#licenseText
Attribution Assurance License,AAL,https://spdx.org/licenses/preview/AAL.html#licenseText
Abstyles License,Abstyles,https://spdx.org/licenses/preview/Abstyles.html#licenseText
Adobe Systems Incorporated Source Code License Agreement,Adobe-2006,https://spdx.org/licenses/preview/Adobe-2006.html#licenseText
Adobe Glyph List License,Adobe-Glyph,https://spdx.org/licenses/preview/Adobe-Glyph.html#licenseText
Amazon Digital Services License,ADSL,https://spdx.org/licenses/preview/ADSL.html#licenseText
Academic Free License v3.0,AFL-3.0,https://spdx.org/licenses/preview/AFL-3.0.html#licenseText
Afmparse License,Afmparse,https://spdx.org/licenses/preview/Afmparse.html#licenseText
Affero General Public License v1.0 only,AGPL-1.0-only,https://spdx.org/licenses/preview/AGPL-1.0-only.html#licenseText
Affero General Public License v1.0 or later,AGPL-1.0-or-later,https://spdx.org/licenses/preview/AGPL-1.0-or-later.html#licenseText
GNU Affero General Public License v3.0 only,AGPL-3.0-only,https://spdx.org/licenses/preview/AGPL-3.0-only.html#licenseText
GNU Affero General Public License v3.0 or later,AGPL-3.0-or-later,https://spdx.org/licenses/preview/AGPL-3.0-or-later.html#licenseText
Aladdin Free Public License,Aladdin,https://spdx.org/licenses/preview/Aladdin.html#licenseText
AMD's plpa_map.c License,AMDPLPA,https://spdx.org/licenses/preview/AMDPLPA.html#licenseText
Apple MIT License,AML,https://spdx.org/licenses/preview/AML.html#licenseText
Academy of Motion Picture Arts and Sciences BSD,AMPAS,https://spdx.org/licenses/preview/AMPAS.html#licenseText
ANTLR Software Rights Notice,ANTLR-PD,https://spdx.org/licenses/preview/ANTLR-PD.html#licenseText
Apache License 2.0,Apache-2.0,https://spdx.org/licenses/preview/Apache-2.0.html#licenseText
Adobe Postscript AFM License,APAFML,https://spdx.org/licenses/preview/APAFML.html#licenseText
Adaptive Public License 1.0,APL-1.0,https://spdx.org/licenses/preview/APL-1.0.html#licenseText
Apple Public Source License 2.0,APSL-2.0,https://spdx.org/licenses/preview/APSL-2.0.html#licenseText
Artistic License 1.0,Artistic-1.0,https://spdx.org/licenses/preview/Artistic-1.0.html#licenseText
Artistic License 1.0 w/clause 8,Artistic-1.0-cl8,https://spdx.org/licenses/preview/Artistic-1.0-cl8.html#licenseText
Artistic License 1.0 (Perl),Artistic-1.0-Perl,https://spdx.org/licenses/preview/Artistic-1.0-Perl.html#licenseText
Artistic License 2.0,Artistic-2.0,https://spdx.org/licenses/preview/Artistic-2.0.html#licenseText
Bahyph License,Bahyph,https://spdx.org/licenses/preview/Bahyph.html#licenseText
Barr License,Barr,https://spdx.org/licenses/preview/Barr.html#licenseText
Beerware License,Beerware,https://spdx.org/licenses/preview/Beerware.html#licenseText
BitTorrent Open Source License v1.0,BitTorrent-1.0,https://spdx.org/licenses/preview/BitTorrent-1.0.html#licenseText
BitTorrent Open Source License v1.1,BitTorrent-1.1,https://spdx.org/licenses/preview/BitTorrent-1.1.html#licenseText
SQLite Blessing,blessing,https://spdx.org/licenses/preview/blessing.html#licenseText
Blue Oak Model License 1.0.0,BlueOak-1.0.0,https://spdx.org/licenses/preview/BlueOak-1.0.0.html#licenseText
Borceux license,Borceux,https://spdx.org/licenses/preview/Borceux.html#licenseText
BSD 1-Clause License,BSD-1-Clause,https://spdx.org/licenses/preview/BSD-1-Clause.html#licenseText
"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://spdx.org/licenses/preview/BSD-2-Clause.html#licenseText
BSD 2-Clause FreeBSD License,BSD-2-Clause-FreeBSD,https://spdx.org/licenses/preview/BSD-2-Clause-FreeBSD.html#licenseText
BSD 2-Clause NetBSD License,BSD-2-Clause-NetBSD,https://spdx.org/licenses/preview/BSD-2-Clause-NetBSD.html#licenseText
BSD-2-Clause Plus Patent License,BSD-2-Clause-Patent,https://spdx.org/licenses/preview/BSD-2-Clause-Patent.html#licenseText
"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://spdx.org/licenses/preview/BSD-3-Clause.html#licenseText
BSD with attribution,BSD-3-Clause-Attribution,https://spdx.org/licenses/preview/BSD-3-Clause-Attribution.html#licenseText
BSD 3-Clause Clear License,BSD-3-Clause-Clear,https://spdx.org/licenses/preview/BSD-3-Clause-Clear.html#licenseText
Lawrence Berkeley National Labs BSD variant license,BSD-3-Clause-LBNL,https://spdx.org/licenses/preview/BSD-3-Clause-LBNL.html#licenseText
BSD 3-Clause No Nuclear License,BSD-3-Clause-No-Nuclear-License,https://spdx.org/licenses/preview/BSD-3-Clause-No-Nuclear-License.html#licenseText
BSD 3-Clause No Nuclear License 2014,BSD-3-Clause-No-Nuclear-License-2014,https://spdx.org/licenses/preview/BSD-3-Clause-No-Nuclear-License-2014.html#licenseText
BSD 3-Clause No Nuclear Warranty,BSD-3-Clause-No-Nuclear-Warranty,https://spdx.org/licenses/preview/BSD-3-Clause-No-Nuclear-Warranty.html#licenseText
BSD 3-Clause Open MPI variant,BSD-3-Clause-Open-MPI,https://spdx.org/licenses/preview/BSD-3-Clause-Open-MPI.html#licenseText
"BSD 4-Clause ""Original"" or ""Old"" License",BSD-4-Clause,https://spdx.org/licenses/preview/BSD-4-Clause.html#licenseText
BSD-4-Clause (University of California-Specific),BSD-4-Clause-UC,https://spdx.org/licenses/preview/BSD-4-Clause-UC.html#licenseText
BSD Protection License,BSD-Protection,https://spdx.org/licenses/preview/BSD-Protection.html#licenseText
BSD Source Code Attribution,BSD-Source-Code,https://spdx.org/licenses/preview/BSD-Source-Code.html#licenseText
Boost Software License 1.0,BSL-1.0,https://spdx.org/licenses/preview/BSL-1.0.html#licenseText
bzip2 and libbzip2 License v1.0.5,bzip2-1.0.5,https://spdx.org/licenses/preview/bzip2-1.0.5.html#licenseText
bzip2 and libbzip2 License v1.0.6,bzip2-1.0.6,https://spdx.org/licenses/preview/bzip2-1.0.6.html#licenseText
Caldera License,Caldera,https://spdx.org/licenses/preview/Caldera.html#licenseText
Computer Associates Trusted Open Source License 1.1,CATOSL-1.1,https://spdx.org/licenses/preview/CATOSL-1.1.html#licenseText
Common Development and Distribution License 1.0,CDDL-1.0,https://spdx.org/licenses/preview/CDDL-1.0.html#licenseText
Common Development and Distribution License 1.1,CDDL-1.1,https://spdx.org/licenses/preview/CDDL-1.1.html#licenseText
Community Data License Agreement Permissive 1.0,CDLA-Permissive-1.0,https://spdx.org/licenses/preview/CDLA-Permissive-1.0.html#licenseText
Community Data License Agreement Sharing 1.0,CDLA-Sharing-1.0,https://spdx.org/licenses/preview/CDLA-Sharing-1.0.html#licenseText
